"","Location","Year","Month","average_WindGustSpeed","Lat","Long","State"
"66","Adelaide",2014,"December",38.2903225806452,-34.9281805,138.5999312,"South Australia"
"67","Adelaide",2014,"February",41.9285714285714,-34.9281805,138.5999312,"South Australia"
"68","Adelaide",2014,"January",41.4193548387097,-34.9281805,138.5999312,"South Australia"
"69","Adelaide",2014,"July",40.1935483870968,-34.9281805,138.5999312,"South Australia"
"70","Adelaide",2014,"June",37.2666666666667,-34.9281805,138.5999312,"South Australia"
"71","Adelaide",2014,"March",35.3870967741936,-34.9281805,138.5999312,"South Australia"
"72","Adelaide",2014,"May",32.2258064516129,-34.9281805,138.5999312,"South Australia"
"73","Adelaide",2014,"November",37.1,-34.9281805,138.5999312,"South Australia"
"74","Adelaide",2014,"October",37.5806451612903,-34.9281805,138.5999312,"South Australia"
"75","Adelaide",2014,"September",40.6,-34.9281805,138.5999312,"South Australia"
"76","Adelaide",2015,"April",33.6693269415448,-34.9281805,138.5999312,"South Australia"
"77","Adelaide",2015,"August",32.0322580645161,-34.9281805,138.5999312,"South Australia"
"78","Adelaide",2015,"December",36.8709677419355,-34.9281805,138.5999312,"South Australia"
"79","Adelaide",2015,"February",36.9285714285714,-34.9281805,138.5999312,"South Australia"
"80","Adelaide",2015,"January",42.6129032258064,-34.9281805,138.5999312,"South Australia"
"81","Adelaide",2015,"July",32.7741935483871,-34.9281805,138.5999312,"South Australia"
"82","Adelaide",2015,"June",25.2,-34.9281805,138.5999312,"South Australia"
"83","Adelaide",2015,"March",35.8387096774194,-34.9281805,138.5999312,"South Australia"
"84","Adelaide",2015,"May",31.773670500565,-34.9281805,138.5999312,"South Australia"
"85","Adelaide",2015,"November",35.2466676287974,-34.9281805,138.5999312,"South Australia"
"86","Adelaide",2015,"October",32,-34.9281805,138.5999312,"South Australia"
"87","Adelaide",2015,"September",33.8,-34.9281805,138.5999312,"South Australia"
"88","Adelaide",2016,"April",29.2666666666667,-34.9281805,138.5999312,"South Australia"
"89","Adelaide",2016,"August",36.6451612903226,-34.9281805,138.5999312,"South Australia"
"90","Adelaide",2016,"December",37.1612903225806,-34.9281805,138.5999312,"South Australia"
"91","Adelaide",2016,"February",34.4137931034483,-34.9281805,138.5999312,"South Australia"
"92","Adelaide",2016,"January",35.1935483870968,-34.9281805,138.5999312,"South Australia"
"93","Adelaide",2016,"July",35.9032258064516,-34.9281805,138.5999312,"South Australia"
"94","Adelaide",2016,"June",33.6333333333333,-34.9281805,138.5999312,"South Australia"
"95","Adelaide",2016,"March",28.2903225806452,-34.9281805,138.5999312,"South Australia"
"96","Adelaide",2016,"May",35.2258064516129,-34.9281805,138.5999312,"South Australia"
"97","Adelaide",2016,"November",34.8,-34.9281805,138.5999312,"South Australia"
"98","Adelaide",2016,"October",41.4838709677419,-34.9281805,138.5999312,"South Australia"
"99","Adelaide",2016,"September",35.8,-34.9281805,138.5999312,"South Australia"
"100","Adelaide",2017,"April",28.8,-34.9281805,138.5999312,"South Australia"
"101","Adelaide",2017,"February",34.6938712755551,-34.9281805,138.5999312,"South Australia"
"102","Adelaide",2017,"January",35.3870967741936,-34.9281805,138.5999312,"South Australia"
"103","Adelaide",2017,"June",21.1068370669335,-34.9281805,138.5999312,"South Australia"
"104","Adelaide",2017,"March",32.1613338165766,-34.9281805,138.5999312,"South Australia"
"105","Adelaide",2017,"May",27.4838709677419,-34.9281805,138.5999312,"South Australia"
"106","Albany",2008,"December",48.208879385474,-35.0247822,117.883608,"Western Australia"
"107","Albany",2009,"April",49.7899196967483,-35.0247822,117.883608,"Western Australia"
"108","Albany",2009,"August",54.3437285285683,-35.0247822,117.883608,"Western Australia"
"109","Albany",2009,"December",48.8379023692781,-35.0247822,117.883608,"Western Australia"
"110","Albany",2009,"February",52.2389067144,-35.0247822,117.883608,"Western Australia"
"111","Albany",2009,"January",47.4561066943551,-35.0247822,117.883608,"Western Australia"
"112","Albany",2009,"July",44.7398933888443,-35.0247822,117.883608,"Western Australia"
"113","Albany",2009,"June",45.4905248098075,-35.0247822,117.883608,"Western Australia"
"114","Albany",2009,"March",50.9118143846131,-35.0247822,117.883608,"Western Australia"
"115","Albany",2009,"May",50.5837026994014,-35.0247822,117.883608,"Western Australia"
"116","Albany",2009,"November",52.644173593726,-35.0247822,117.883608,"Western Australia"
"117","Albany",2009,"October",43.6689164382856,-35.0247822,117.883608,"Western Australia"
"118","Albany",2009,"September",48.0285865189508,-35.0247822,117.883608,"Western Australia"
"119","Albany",2010,"April",46.7068439479917,-35.0247822,117.883608,"Western Australia"
"120","Albany",2010,"August",51.9983596009232,-35.0247822,117.883608,"Western Australia"
"121","Albany",2010,"December",48.2759090226084,-35.0247822,117.883608,"Western Australia"
"122","Albany",2010,"February",51.0315236166519,-35.0247822,117.883608,"Western Australia"
"123","Albany",2010,"January",46.2501860403967,-35.0247822,117.883608,"Western Australia"
"124","Albany",2010,"July",49.6116484937468,-35.0247822,117.883608,"Western Australia"
"125","Albany",2010,"June",51.8286108197644,-35.0247822,117.883608,"Western Australia"
"126","Albany",2010,"March",54.8844382384672,-35.0247822,117.883608,"Western Australia"
"127","Albany",2010,"May",49.982108277449,-35.0247822,117.883608,"Western Australia"
"128","Albany",2010,"November",52.5674691051245,-35.0247822,117.883608,"Western Australia"
"129","Albany",2010,"October",51.3263687764805,-35.0247822,117.883608,"Western Australia"
"130","Albany",2010,"September",48.9671133081429,-35.0247822,117.883608,"Western Australia"
"131","Albany",2011,"August",52.8080010670988,-35.0247822,117.883608,"Western Australia"
"132","Albany",2011,"December",48.7767717650821,-35.0247822,117.883608,"Western Australia"
"133","Albany",2011,"February",52.0490974673469,-35.0247822,117.883608,"Western Australia"
"134","Albany",2011,"January",48.880386642601,-35.0247822,117.883608,"Western Australia"
"135","Albany",2011,"July",51.5704792425517,-35.0247822,117.883608,"Western Australia"
"136","Albany",2011,"June",49.7151108421385,-35.0247822,117.883608,"Western Australia"
"137","Albany",2011,"March",48.3729576672457,-35.0247822,117.883608,"Western Australia"
"138","Albany",2011,"May",47.9067517424964,-35.0247822,117.883608,"Western Australia"
"139","Albany",2011,"November",51.2961356029846,-35.0247822,117.883608,"Western Australia"
"140","Albany",2011,"October",51.3321150690618,-35.0247822,117.883608,"Western Australia"
"141","Albany",2011,"September",56.2200684249401,-35.0247822,117.883608,"Western Australia"
"142","Albany",2012,"April",48.7452856772579,-35.0247822,117.883608,"Western Australia"
"143","Albany",2012,"August",48.3546863039655,-35.0247822,117.883608,"Western Australia"
"144","Albany",2012,"February",45.9706345730429,-35.0247822,117.883608,"Western Australia"
"145","Albany",2012,"January",47.8892890363932,-35.0247822,117.883608,"Western Australia"
"146","Albany",2012,"July",49.5594102222352,-35.0247822,117.883608,"Western Australia"
"147","Albany",2012,"June",56.6038732281886,-35.0247822,117.883608,"Western Australia"
"148","Albany",2012,"March",53.3804250537087,-35.0247822,117.883608,"Western Australia"
"149","Albany",2012,"May",46.7825631394742,-35.0247822,117.883608,"Western Australia"
"150","Albany",2012,"November",45.4577640523203,-35.0247822,117.883608,"Western Australia"
"151","Albany",2012,"October",50.8615380129026,-35.0247822,117.883608,"Western Australia"
"152","Albany",2012,"September",48.2657311884686,-35.0247822,117.883608,"Western Australia"
"153","Albany",2013,"April",48.3354060710408,-35.0247822,117.883608,"Western Australia"
"154","Albany",2013,"August",46.7608044664526,-35.0247822,117.883608,"Western Australia"
"155","Albany",2013,"December",45.047359717409,-35.0247822,117.883608,"Western Australia"
"156","Albany",2013,"January",48.2705694132094,-35.0247822,117.883608,"Western Australia"
"157","Albany",2013,"July",50.5177295443812,-35.0247822,117.883608,"Western Australia"
"158","Albany",2013,"June",49.9066315493546,-35.0247822,117.883608,"Western Australia"
"159","Albany",2013,"March",53.2736231873353,-35.0247822,117.883608,"Western Australia"
"160","Albany",2013,"May",48.8799908779742,-35.0247822,117.883608,"Western Australia"
"161","Albany",2013,"November",48.4603988840245,-35.0247822,117.883608,"Western Australia"
"162","Albany",2013,"October",50.6114609309682,-35.0247822,117.883608,"Western Australia"
"163","Albany",2013,"September",49.3598357820883,-35.0247822,117.883608,"Western Australia"
"164","Albany",2014,"April",50.3218604801223,-35.0247822,117.883608,"Western Australia"
"165","Albany",2014,"August",50.8039882366035,-35.0247822,117.883608,"Western Australia"
"166","Albany",2014,"December",55.1835518346859,-35.0247822,117.883608,"Western Australia"
"167","Albany",2014,"February",50.3307406266686,-35.0247822,117.883608,"Western Australia"
"168","Albany",2014,"January",49.6334996218643,-35.0247822,117.883608,"Western Australia"
"169","Albany",2014,"July",47.4550628297091,-35.0247822,117.883608,"Western Australia"
"170","Albany",2014,"June",49.60182482237,-35.0247822,117.883608,"Western Australia"
"171","Albany",2014,"March",54.3095514423124,-35.0247822,117.883608,"Western Australia"
"172","Albany",2014,"May",58.1755566352137,-35.0247822,117.883608,"Western Australia"
"173","Albany",2014,"November",55.3581719347276,-35.0247822,117.883608,"Western Australia"
"174","Albany",2014,"October",46.2938085324582,-35.0247822,117.883608,"Western Australia"
"175","Albany",2014,"September",47.6139818234369,-35.0247822,117.883608,"Western Australia"
"176","Albany",2015,"April",52.7168650864623,-35.0247822,117.883608,"Western Australia"
"177","Albany",2015,"August",47.6712990902184,-35.0247822,117.883608,"Western Australia"
"178","Albany",2015,"December",53.2891963046765,-35.0247822,117.883608,"Western Australia"
"179","Albany",2015,"February",45.8991703133298,-35.0247822,117.883608,"Western Australia"
"180","Albany",2015,"January",44.2493133267929,-35.0247822,117.883608,"Western Australia"
"181","Albany",2015,"July",49.7522163847762,-35.0247822,117.883608,"Western Australia"
"182","Albany",2015,"June",53.9507048209198,-35.0247822,117.883608,"Western Australia"
"183","Albany",2015,"March",49.6733927348208,-35.0247822,117.883608,"Western Australia"
"184","Albany",2015,"May",45.3281589412701,-35.0247822,117.883608,"Western Australia"
"185","Albany",2015,"November",51.966810350772,-35.0247822,117.883608,"Western Australia"
"186","Albany",2015,"October",48.2247098966412,-35.0247822,117.883608,"Western Australia"
"187","Albany",2015,"September",49.6170995729044,-35.0247822,117.883608,"Western Australia"
"188","Albany",2016,"April",48.5900965570472,-35.0247822,117.883608,"Western Australia"
"189","Albany",2016,"August",53.6664866869368,-35.0247822,117.883608,"Western Australia"
"190","Albany",2016,"December",52.3074835639507,-35.0247822,117.883608,"Western Australia"
"191","Albany",2016,"February",52.9077536476262,-35.0247822,117.883608,"Western Australia"
"192","Albany",2016,"January",40.4778263180126,-35.0247822,117.883608,"Western Australia"
"193","Albany",2016,"July",47.5006259135121,-35.0247822,117.883608,"Western Australia"
"194","Albany",2016,"June",50.4696759800427,-35.0247822,117.883608,"Western Australia"
"195","Albany",2016,"March",50.1913532646253,-35.0247822,117.883608,"Western Australia"
"196","Albany",2016,"May",42.0341670347918,-35.0247822,117.883608,"Western Australia"
"197","Albany",2016,"November",41.1550267594866,-35.0247822,117.883608,"Western Australia"
"198","Albany",2016,"October",47.8499466577365,-35.0247822,117.883608,"Western Australia"
"199","Albany",2016,"September",49.4147932920605,-35.0247822,117.883608,"Western Australia"
"200","Albany",2017,"April",50.3490804256871,-35.0247822,117.883608,"Western Australia"
"201","Albany",2017,"February",55.4744211710723,-35.0247822,117.883608,"Western Australia"
"202","Albany",2017,"January",44.1317233282532,-35.0247822,117.883608,"Western Australia"
"203","Albany",2017,"June",47.664256725274,-35.0247822,117.883608,"Western Australia"
"204","Albany",2017,"March",47.4897746854432,-35.0247822,117.883608,"Western Australia"
"205","Albany",2017,"May",47.7140822730237,-35.0247822,117.883608,"Western Australia"
"206","AliceSprings",2008,"December",42.8709677419355,-23.6983884,133.8812885,"Northern Territory"
"207","AliceSprings",2009,"April",40.1656839926106,-23.6983884,133.8812885,"Northern Territory"
"208","AliceSprings",2009,"August",42.6774193548387,-23.6983884,133.8812885,"Northern Territory"
"209","AliceSprings",2009,"December",46.0322580645161,-23.6983884,133.8812885,"Northern Territory"
"210","AliceSprings",2009,"February",46.9642857142857,-23.6983884,133.8812885,"Northern Territory"
"211","AliceSprings",2009,"January",51.258064516129,-23.6983884,133.8812885,"Northern Territory"
"212","AliceSprings",2009,"July",35.5603763210557,-23.6983884,133.8812885,"Northern Territory"
"213","AliceSprings",2009,"June",31.8333333333333,-23.6983884,133.8812885,"Northern Territory"
"214","AliceSprings",2009,"March",44.1612903225806,-23.6983884,133.8812885,"Northern Territory"
"215","AliceSprings",2009,"May",40.274399096717,-23.6983884,133.8812885,"Northern Territory"
"216","AliceSprings",2009,"November",48.9333333333333,-23.6983884,133.8812885,"Northern Territory"
"217","AliceSprings",2009,"October",45.6451612903226,-23.6983884,133.8812885,"Northern Territory"
"218","AliceSprings",2009,"September",47.1666666666667,-23.6983884,133.8812885,"Northern Territory"
"219","AliceSprings",2010,"April",35.3,-23.6983884,133.8812885,"Northern Territory"
"220","AliceSprings",2010,"August",38.2903225806452,-23.6983884,133.8812885,"Northern Territory"
"221","AliceSprings",2010,"December",45.3372623908424,-23.6983884,133.8812885,"Northern Territory"
"222","AliceSprings",2010,"February",47.1428571428571,-23.6983884,133.8812885,"Northern Territory"
"223","AliceSprings",2010,"January",46.2258064516129,-23.6983884,133.8812885,"Northern Territory"
"224","AliceSprings",2010,"July",34.258064516129,-23.6983884,133.8812885,"Northern Territory"
"225","AliceSprings",2010,"June",33.3622350894846,-23.6983884,133.8812885,"Northern Territory"
"226","AliceSprings",2010,"March",37.2903225806452,-23.6983884,133.8812885,"Northern Territory"
"227","AliceSprings",2010,"May",34.4838709677419,-23.6983884,133.8812885,"Northern Territory"
"228","AliceSprings",2010,"November",46.2952621207262,-23.6983884,133.8812885,"Northern Territory"
"229","AliceSprings",2010,"October",39.0645161290323,-23.6983884,133.8812885,"Northern Territory"
"230","AliceSprings",2010,"September",40.5814803390453,-23.6983884,133.8812885,"Northern Territory"
