"","Location","Year","Month","average_monthly_hum","State"
"540","Brisbane","2011","July",49.87,"Queensland"
"541","Brisbane","2011","June",57.67,"Queensland"
"542","Brisbane","2011","March",63.47,"Queensland"
"543","Brisbane","2011","May",60.19,"Queensland"
"544","Brisbane","2011","November",57.32,"Queensland"
"545","Brisbane","2011","October",58.31,"Queensland"
"546","Brisbane","2011","September",50.02,"Queensland"
"547","Brisbane","2012","April",68.38,"Queensland"
"548","Brisbane","2012","August",46.85,"Queensland"
"549","Brisbane","2012","February",66.91,"Queensland"
"550","Brisbane","2012","January",67.72,"Queensland"
"551","Brisbane","2012","July",63.4,"Queensland"
"552","Brisbane","2012","June",67.62,"Queensland"
"553","Brisbane","2012","March",68.55,"Queensland"
"554","Brisbane","2012","May",61.5,"Queensland"
"555","Brisbane","2012","November",57.27,"Queensland"
"556","Brisbane","2012","October",52.02,"Queensland"
"557","Brisbane","2012","September",53.42,"Queensland"
"558","Brisbane","2013","April",64.38,"Queensland"
"559","Brisbane","2013","August",48.21,"Queensland"
"560","Brisbane","2013","December",53.27,"Queensland"
"561","Brisbane","2013","January",63.97,"Queensland"
"562","Brisbane","2013","July",68.79,"Queensland"
"563","Brisbane","2013","June",66.38,"Queensland"
"564","Brisbane","2013","March",68.06,"Queensland"
"565","Brisbane","2013","May",63.02,"Queensland"
"566","Brisbane","2013","November",55.9,"Queensland"
"567","Brisbane","2013","October",51.71,"Queensland"
"568","Brisbane","2013","September",54.4,"Queensland"
"569","Brisbane","2014","April",59.58,"Queensland"
"570","Brisbane","2014","August",55.48,"Queensland"
"571","Brisbane","2014","December",62.08,"Queensland"
"572","Brisbane","2014","February",57.75,"Queensland"
"573","Brisbane","2014","January",56.45,"Queensland"
"574","Brisbane","2014","July",49.81,"Queensland"
"575","Brisbane","2014","June",58.32,"Queensland"
"576","Brisbane","2014","March",62.9,"Queensland"
"577","Brisbane","2014","May",63.07,"Queensland"
"578","Brisbane","2014","November",57.32,"Queensland"
"579","Brisbane","2014","October",50.81,"Queensland"
"580","Brisbane","2014","September",50.95,"Queensland"
"581","Brisbane","2015","April",61.81,"Queensland"
"582","Brisbane","2015","August",54.56,"Queensland"
"583","Brisbane","2015","December",55.77,"Queensland"
"584","Brisbane","2015","February",65.25,"Queensland"
"585","Brisbane","2015","January",66.18,"Queensland"
"586","Brisbane","2015","July",58.76,"Queensland"
"587","Brisbane","2015","June",67.3,"Queensland"
"588","Brisbane","2015","March",62.4,"Queensland"
"589","Brisbane","2015","May",59.83,"Queensland"
"590","Brisbane","2015","November",59.33,"Queensland"
"591","Brisbane","2015","October",55.35,"Queensland"
"592","Brisbane","2015","September",54.35,"Queensland"
"593","Brisbane","2016","April",59.88,"Queensland"
"594","Brisbane","2016","August",57.4,"Queensland"
"595","Brisbane","2016","December",58,"Queensland"
"596","Brisbane","2016","February",56.57,"Queensland"
"597","Brisbane","2016","January",58.63,"Queensland"
"598","Brisbane","2016","July",57.1,"Queensland"
"599","Brisbane","2016","June",61.45,"Queensland"
"600","Brisbane","2016","March",63.74,"Queensland"
"601","Brisbane","2016","May",54.89,"Queensland"
"602","Brisbane","2016","November",51.43,"Queensland"
"603","Brisbane","2016","October",46.23,"Queensland"
"604","Brisbane","2016","September",55.23,"Queensland"
"605","Brisbane","2017","April",57.82,"Queensland"
"606","Brisbane","2017","February",53.16,"Queensland"
"607","Brisbane","2017","January",59.61,"Queensland"
"608","Brisbane","2017","June",60.24,"Queensland"
"609","Brisbane","2017","March",64.75,"Queensland"
"610","Brisbane","2017","May",63.74,"Queensland"
"611","Cairns","2008","December",66.92,"Queensland"
"612","Cairns","2009","April",65.42,"Queensland"
"613","Cairns","2009","August",56.39,"Queensland"
"614","Cairns","2009","December",63.13,"Queensland"
"615","Cairns","2009","February",75.27,"Queensland"
"616","Cairns","2009","January",74.61,"Queensland"
"617","Cairns","2009","July",58.5,"Queensland"
"618","Cairns","2009","June",62.82,"Queensland"
"619","Cairns","2009","March",64.82,"Queensland"
"620","Cairns","2009","May",68.26,"Queensland"
"621","Cairns","2009","November",65.18,"Queensland"
"622","Cairns","2009","October",53.9,"Queensland"
"623","Cairns","2009","September",52.27,"Queensland"
"624","Cairns","2010","April",77.85,"Queensland"
"625","Cairns","2010","August",63.63,"Queensland"
"626","Cairns","2010","December",72.82,"Queensland"
"627","Cairns","2010","February",71.25,"Queensland"
"628","Cairns","2010","January",75.52,"Queensland"
"629","Cairns","2010","July",70.65,"Queensland"
"630","Cairns","2010","June",61.57,"Queensland"
"631","Cairns","2010","March",72.61,"Queensland"
"632","Cairns","2010","May",66.16,"Queensland"
"633","Cairns","2010","November",69.45,"Queensland"
"634","Cairns","2010","October",67.16,"Queensland"
"635","Cairns","2010","September",67.72,"Queensland"
"636","Cairns","2011","August",55.95,"Queensland"
"637","Cairns","2011","December",68,"Queensland"
"638","Cairns","2011","February",77.73,"Queensland"
"639","Cairns","2011","January",72.79,"Queensland"
"640","Cairns","2011","July",58.92,"Queensland"
"641","Cairns","2011","June",57.4,"Queensland"
"642","Cairns","2011","March",76.48,"Queensland"
"643","Cairns","2011","May",57.11,"Queensland"
"644","Cairns","2011","November",63.63,"Queensland"
"645","Cairns","2011","October",62.68,"Queensland"
"646","Cairns","2011","September",54.63,"Queensland"
"647","Cairns","2012","April",66.67,"Queensland"
"648","Cairns","2012","August",55.76,"Queensland"
"649","Cairns","2012","February",69.55,"Queensland"
"650","Cairns","2012","January",68.56,"Queensland"
"651","Cairns","2012","July",62.74,"Queensland"
"652","Cairns","2012","June",65.07,"Queensland"
"653","Cairns","2012","March",76.81,"Queensland"
"654","Cairns","2012","May",67.94,"Queensland"
"655","Cairns","2012","November",60.1,"Queensland"
"656","Cairns","2012","October",57.18,"Queensland"
"657","Cairns","2012","September",57.6,"Queensland"
"658","Cairns","2013","April",70.97,"Queensland"
"659","Cairns","2013","August",55.63,"Queensland"
"660","Cairns","2013","December",62.45,"Queensland"
"661","Cairns","2013","January",66.76,"Queensland"
"662","Cairns","2013","July",64.97,"Queensland"
"663","Cairns","2013","June",66.05,"Queensland"
"664","Cairns","2013","March",72.27,"Queensland"
"665","Cairns","2013","May",72.31,"Queensland"
"666","Cairns","2013","November",66.73,"Queensland"
"667","Cairns","2013","October",57.34,"Queensland"
"668","Cairns","2013","September",61.5,"Queensland"
"669","Cairns","2014","April",72.8,"Queensland"
"670","Cairns","2014","August",60.94,"Queensland"
"671","Cairns","2014","December",60.65,"Queensland"
"672","Cairns","2014","February",76.38,"Queensland"
"673","Cairns","2014","January",69.9,"Queensland"
"674","Cairns","2014","July",58.48,"Queensland"
"675","Cairns","2014","June",69.17,"Queensland"
"676","Cairns","2014","March",74.16,"Queensland"
"677","Cairns","2014","May",69.11,"Queensland"
"678","Cairns","2014","November",55.8,"Queensland"
"679","Cairns","2014","October",51.06,"Queensland"
"680","Cairns","2014","September",53.68,"Queensland"
"681","Cairns","2015","April",64.03,"Queensland"
"682","Cairns","2015","August",58.19,"Queensland"
"683","Cairns","2015","December",69.13,"Queensland"
"684","Cairns","2015","February",72.29,"Queensland"
"685","Cairns","2015","January",69.29,"Queensland"
"686","Cairns","2015","July",64.31,"Queensland"
"687","Cairns","2015","June",69.77,"Queensland"
"688","Cairns","2015","March",66.52,"Queensland"
"689","Cairns","2015","May",63.34,"Queensland"
"690","Cairns","2015","November",66.78,"Queensland"
"691","Cairns","2015","October",61.29,"Queensland"
"692","Cairns","2015","September",55.05,"Queensland"
"693","Cairns","2016","April",71.53,"Queensland"
"694","Cairns","2016","August",67.4,"Queensland"
"695","Cairns","2016","December",61.45,"Queensland"
"696","Cairns","2016","February",67.41,"Queensland"
"697","Cairns","2016","January",66.24,"Queensland"
"698","Cairns","2016","July",70.13,"Queensland"
"699","Cairns","2016","June",75.17,"Queensland"
"700","Cairns","2016","March",72.87,"Queensland"
"701","Cairns","2016","May",73.47,"Queensland"
"702","Cairns","2016","November",58.58,"Queensland"
"703","Cairns","2016","October",63.23,"Queensland"
"704","Cairns","2016","September",70.9,"Queensland"
"705","Cairns","2017","April",70.77,"Queensland"
"706","Cairns","2017","February",74.25,"Queensland"
"707","Cairns","2017","January",73.5,"Queensland"
"708","Cairns","2017","June",64.98,"Queensland"
"709","Cairns","2017","March",71.98,"Queensland"
"710","Cairns","2017","May",68.11,"Queensland"
"711","Canberra","2007","December",59.53,"New South Wales"
"712","Canberra","2007","November",55.75,"New South Wales"
"713","Canberra","2008","April",58.12,"New South Wales"
"714","Canberra","2008","August",59.39,"New South Wales"
"715","Canberra","2008","December",48.32,"New South Wales"
"716","Canberra","2008","February",59.48,"New South Wales"
"717","Canberra","2008","January",52.66,"New South Wales"
"718","Canberra","2008","July",70.4,"New South Wales"
"719","Canberra","2008","June",71.73,"New South Wales"
"720","Canberra","2008","March",53.37,"New South Wales"
"721","Canberra","2008","May",63.81,"New South Wales"
"722","Canberra","2008","November",48.6,"New South Wales"
"723","Canberra","2008","October",46.95,"New South Wales"
"724","Canberra","2008","September",48.23,"New South Wales"
"725","Canberra","2009","April",59.63,"New South Wales"
"726","Canberra","2009","August",60.6,"New South Wales"
"727","Canberra","2009","December",42.4,"New South Wales"
"728","Canberra","2009","February",50.14,"New South Wales"
"729","Canberra","2009","January",42.21,"New South Wales"
"730","Canberra","2009","July",68.64,"New South Wales"
"731","Canberra","2009","June",74.68,"New South Wales"
"732","Canberra","2009","March",47.71,"New South Wales"
"733","Canberra","2009","May",63.19,"New South Wales"
"734","Canberra","2009","November",44.84,"New South Wales"
"735","Canberra","2009","October",59.89,"New South Wales"
"736","Canberra","2009","September",55.62,"New South Wales"
"737","Canberra","2010","April",59.77,"New South Wales"
"738","Canberra","2010","August",65.64,"New South Wales"
"739","Canberra","2010","December",60.52,"New South Wales"
"740","Canberra","2010","February",60.09,"New South Wales"
"741","Canberra","2010","January",41.6,"New South Wales"
"742","Canberra","2010","July",72.57,"New South Wales"
"743","Canberra","2010","June",69.15,"New South Wales"
"744","Canberra","2010","March",62.16,"New South Wales"
"745","Canberra","2010","May",66.02,"New South Wales"
"746","Canberra","2010","November",62.67,"New South Wales"
"747","Canberra","2010","October",63.79,"New South Wales"
"748","Canberra","2010","September",58.12,"New South Wales"
"749","Canberra","2011","August",64.45,"New South Wales"
"750","Canberra","2011","December",59.5,"New South Wales"
"751","Canberra","2011","February",63.62,"New South Wales"
"752","Canberra","2011","January",60.48,"New South Wales"
"753","Canberra","2011","July",64.93,"New South Wales"
"754","Canberra","2011","June",64.69,"New South Wales"
"755","Canberra","2011","March",69.08,"New South Wales"
"756","Canberra","2011","May",60.79,"New South Wales"
"757","Canberra","2011","November",56.05,"New South Wales"
"758","Canberra","2011","October",54.67,"New South Wales"
"759","Canberra","2011","September",51.88,"New South Wales"
"760","Canberra","2012","April",65.88,"New South Wales"
"761","Canberra","2012","August",57.42,"New South Wales"
"762","Canberra","2012","February",64.91,"New South Wales"
"763","Canberra","2012","January",52.95,"New South Wales"
"764","Canberra","2012","July",70.12,"New South Wales"
"765","Canberra","2012","June",72.72,"New South Wales"
"766","Canberra","2012","March",69.87,"New South Wales"
"767","Canberra","2012","May",66.12,"New South Wales"
"768","Canberra","2012","November",52.38,"New South Wales"
"769","Canberra","2012","October",50.55,"New South Wales"
"770","Canberra","2012","September",53.46,"New South Wales"
"771","Canberra","2013","April",55.69,"New South Wales"
"772","Canberra","2013","August",65.1,"New South Wales"
"773","Canberra","2013","December",45,"New South Wales"
"774","Canberra","2013","January",43.4,"New South Wales"
"775","Canberra","2013","July",73.98,"New South Wales"
"776","Canberra","2013","June",71.8,"New South Wales"
"777","Canberra","2013","March",56.74,"New South Wales"
"778","Canberra","2013","May",59.41,"New South Wales"
"779","Canberra","2013","November",49.38,"New South Wales"
"780","Canberra","2013","October",47.53,"New South Wales"
"781","Canberra","2013","September",56.05,"New South Wales"
"782","Canberra","2014","April",70.4,"New South Wales"
"783","Canberra","2014","August",65.18,"New South Wales"
"784","Canberra","2014","December",54.73,"New South Wales"
"785","Canberra","2014","February",53.14,"New South Wales"
"786","Canberra","2014","January",39.26,"New South Wales"
"787","Canberra","2014","July",74.73,"New South Wales"
"788","Canberra","2014","June",77.74,"New South Wales"
"789","Canberra","2014","March",69.66,"New South Wales"
"790","Canberra","2014","May",72.39,"New South Wales"
"791","Canberra","2014","November",45.05,"New South Wales"
"792","Canberra","2014","October",53.81,"New South Wales"
"793","Canberra","2014","September",59.55,"New South Wales"
"794","Canberra","2015","April",67.35,"New South Wales"
"795","Canberra","2015","August",69.89,"New South Wales"
"796","Canberra","2015","December",39.95,"New South Wales"
"797","Canberra","2015","February",57.71,"New South Wales"
"798","Canberra","2015","January",57.79,"New South Wales"
"799","Canberra","2015","July",72.89,"New South Wales"
"800","Canberra","2015","June",73.17,"New South Wales"
"801","Canberra","2015","March",53.45,"New South Wales"
"802","Canberra","2015","May",66.1,"New South Wales"
"803","Canberra","2015","November",54.32,"New South Wales"
"804","Canberra","2015","October",55,"New South Wales"
"805","Canberra","2015","September",57.87,"New South Wales"
"806","Canberra","2016","April",54.57,"New South Wales"
"807","Canberra","2016","August",67.31,"New South Wales"
"808","Canberra","2016","December",49.32,"New South Wales"
"809","Canberra","2016","February",52.02,"New South Wales"
"810","Canberra","2016","January",54.45,"New South Wales"
"811","Canberra","2016","July",75.63,"New South Wales"
"812","Canberra","2016","June",75.48,"New South Wales"
"813","Canberra","2016","March",56,"New South Wales"
"814","Canberra","2016","May",66.35,"New South Wales"
"815","Canberra","2016","November",51.02,"New South Wales"
"816","Canberra","2016","October",60.63,"New South Wales"
"817","Canberra","2016","September",70.62,"New South Wales"
"818","Canberra","2017","April",64.18,"New South Wales"
"819","Canberra","2017","February",49.27,"New South Wales"
"820","Canberra","2017","January",47.16,"New South Wales"
"821","Canberra","2017","June",72.16,"New South Wales"
"822","Canberra","2017","March",65.26,"New South Wales"
"823","Canberra","2017","May",68.06,"New South Wales"
"824","Darwin","2008","August",38.53,"Northern Territory"
"825","Darwin","2008","December",75.5,"Northern Territory"
"826","Darwin","2008","July",41.9,"Northern Territory"
"827","Darwin","2008","November",62.48,"Northern Territory"
"828","Darwin","2008","October",58.19,"Northern Territory"
"829","Darwin","2008","September",57.9,"Northern Territory"
"830","Darwin","2009","April",61.58,"Northern Territory"
"831","Darwin","2009","August",52.27,"Northern Territory"
"832","Darwin","2009","December",72.56,"Northern Territory"
"833","Darwin","2009","February",79.7,"Northern Territory"
"834","Darwin","2009","January",75.02,"Northern Territory"
"835","Darwin","2009","July",44.97,"Northern Territory"
"836","Darwin","2009","June",47.22,"Northern Territory"
"837","Darwin","2009","March",67.45,"Northern Territory"
"838","Darwin","2009","May",49.61,"Northern Territory"
"839","Darwin","2009","November",62.78,"Northern Territory"
"840","Darwin","2009","October",53.53,"Northern Territory"
"841","Darwin","2009","September",58.12,"Northern Territory"
"842","Darwin","2010","April",70.92,"Northern Territory"
"843","Darwin","2010","August",46.27,"Northern Territory"
"844","Darwin","2010","December",74.32,"Northern Territory"
"845","Darwin","2010","February",73.54,"Northern Territory"
"846","Darwin","2010","January",76.95,"Northern Territory"
"847","Darwin","2010","July",48.55,"Northern Territory"
"848","Darwin","2010","June",44,"Northern Territory"
"849","Darwin","2010","March",68.82,"Northern Territory"
"850","Darwin","2010","May",64.29,"Northern Territory"
"851","Darwin","2010","November",66.48,"Northern Territory"
"852","Darwin","2010","October",63.4,"Northern Territory"
"853","Darwin","2010","September",60.82,"Northern Territory"
"854","Darwin","2011","August",46.42,"Northern Territory"
"855","Darwin","2011","December",69.87,"Northern Territory"
"856","Darwin","2011","February",80.41,"Northern Territory"
"857","Darwin","2011","January",80.13,"Northern Territory"
"858","Darwin","2011","July",45.68,"Northern Territory"
"859","Darwin","2011","June",41.38,"Northern Territory"
"860","Darwin","2011","March",78.24,"Northern Territory"
"861","Darwin","2011","May",48.16,"Northern Territory"
"862","Darwin","2011","November",67.84,"Northern Territory"
"863","Darwin","2011","October",63.31,"Northern Territory"
"864","Darwin","2011","September",52.85,"Northern Territory"
"865","Darwin","2012","April",59.63,"Northern Territory"
"866","Darwin","2012","August",50.03,"Northern Territory"
"867","Darwin","2012","February",72.59,"Northern Territory"
"868","Darwin","2012","January",71.89,"Northern Territory"
"869","Darwin","2012","July",41.5,"Northern Territory"
"870","Darwin","2012","June",43.62,"Northern Territory"
"871","Darwin","2012","March",75.69,"Northern Territory"
"872","Darwin","2012","May",48.94,"Northern Territory"
"873","Darwin","2012","November",63.28,"Northern Territory"
"874","Darwin","2012","October",57.55,"Northern Territory"
"875","Darwin","2012","September",55.2,"Northern Territory"
"876","Darwin","2013","April",56.7,"Northern Territory"
"877","Darwin","2013","August",50.95,"Northern Territory"
"878","Darwin","2013","December",72.56,"Northern Territory"
"879","Darwin","2013","January",73.77,"Northern Territory"
"880","Darwin","2013","July",42.94,"Northern Territory"
"881","Darwin","2013","June",46.4,"Northern Territory"
"882","Darwin","2013","March",76.18,"Northern Territory"
"883","Darwin","2013","May",57.73,"Northern Territory"
"884","Darwin","2013","November",67.88,"Northern Territory"
"885","Darwin","2013","October",60.48,"Northern Territory"
"886","Darwin","2013","September",50.53,"Northern Territory"
"887","Darwin","2014","April",69.6,"Northern Territory"
"888","Darwin","2014","August",33.44,"Northern Territory"
"889","Darwin","2014","December",66.79,"Northern Territory"
"890","Darwin","2014","February",75.45,"Northern Territory"
"891","Darwin","2014","January",76.84,"Northern Territory"
"892","Darwin","2014","July",49.24,"Northern Territory"
"893","Darwin","2014","June",42.42,"Northern Territory"
"894","Darwin","2014","March",67.31,"Northern Territory"
"895","Darwin","2014","May",57.68,"Northern Territory"
"896","Darwin","2014","November",58.37,"Northern Territory"
"897","Darwin","2014","October",52.81,"Northern Territory"
"898","Darwin","2014","September",54.68,"Northern Territory"
"899","Darwin","2015","April",57.12,"Northern Territory"
"900","Darwin","2015","August",51.29,"Northern Territory"
"901","Darwin","2015","December",73.08,"Northern Territory"
"902","Darwin","2015","February",74.48,"Northern Territory"
"903","Darwin","2015","January",78.65,"Northern Territory"
"904","Darwin","2015","July",42.92,"Northern Territory"
"905","Darwin","2015","June",44.33,"Northern Territory"
"906","Darwin","2015","March",72.55,"Northern Territory"
"907","Darwin","2015","May",46.47,"Northern Territory"
"908","Darwin","2015","November",59.22,"Northern Territory"
"909","Darwin","2015","October",52.85,"Northern Territory"
"910","Darwin","2015","September",50.7,"Northern Territory"
"911","Darwin","2016","April",59.75,"Northern Territory"
"912","Darwin","2016","August",46.98,"Northern Territory"
"913","Darwin","2016","December",73.27,"Northern Territory"
"914","Darwin","2016","February",71.81,"Northern Territory"
"915","Darwin","2016","January",70.71,"Northern Territory"
"916","Darwin","2016","July",47.08,"Northern Territory"
"917","Darwin","2016","June",52.77,"Northern Territory"
"918","Darwin","2016","March",71.98,"Northern Territory"
"919","Darwin","2016","May",60.95,"Northern Territory"
"920","Darwin","2016","November",66.18,"Northern Territory"
"921","Darwin","2016","October",59.45,"Northern Territory"
"922","Darwin","2016","September",61.48,"Northern Territory"
"923","Darwin","2017","April",64.23,"Northern Territory"
"924","Darwin","2017","February",75.18,"Northern Territory"
"925","Darwin","2017","January",75.15,"Northern Territory"
"926","Darwin","2017","June",40.08,"Northern Territory"
"927","Darwin","2017","March",77.63,"Northern Territory"
"928","Darwin","2017","May",49.34,"Northern Territory"
"929","GoldCoast","2008","December",64.15,"Queensland"
"930","GoldCoast","2009","April",64.53,"Queensland"
"931","GoldCoast","2009","August",59,"Queensland"
"932","GoldCoast","2009","December",68.95,"Queensland"
"933","GoldCoast","2009","February",67.21,"Queensland"
"934","GoldCoast","2009","January",65.05,"Queensland"
"935","GoldCoast","2009","July",56.55,"Queensland"
"936","GoldCoast","2009","June",65.72,"Queensland"
"937","GoldCoast","2009","March",64.66,"Queensland"
"938","GoldCoast","2009","May",61.29,"Queensland"
"939","GoldCoast","2009","November",62.27,"Queensland"
"940","GoldCoast","2009","October",53.35,"Queensland"
"941","GoldCoast","2009","September",56.22,"Queensland"
"942","GoldCoast","2010","April",65.18,"Queensland"
"943","GoldCoast","2010","August",52.65,"Queensland"
"944","GoldCoast","2010","December",77.06,"Queensland"
"945","GoldCoast","2010","February",71.2,"Queensland"
"946","GoldCoast","2010","January",64.81,"Queensland"
"947","GoldCoast","2010","July",63.85,"Queensland"
"948","GoldCoast","2010","June",62.28,"Queensland"
"949","GoldCoast","2010","March",68.56,"Queensland"
"950","GoldCoast","2010","May",61.53,"Queensland"
"951","GoldCoast","2010","November",64.68,"Queensland"
"952","GoldCoast","2010","October",69.82,"Queensland"
"953","GoldCoast","2010","September",64.6,"Queensland"
"954","GoldCoast","2011","August",61.73,"Queensland"
"955","GoldCoast","2011","December",66.4,"Queensland"
"956","GoldCoast","2011","February",69.12,"Queensland"
"957","GoldCoast","2011","January",70.68,"Queensland"
"958","GoldCoast","2011","July",52.06,"Queensland"
"959","GoldCoast","2011","June",57.77,"Queensland"
"960","GoldCoast","2011","March",67.55,"Queensland"
"961","GoldCoast","2011","May",61.21,"Queensland"
"962","GoldCoast","2011","November",66.23,"Queensland"
"963","GoldCoast","2011","October",65.15,"Queensland"
"964","GoldCoast","2011","September",56.28,"Queensland"
"965","GoldCoast","2012","April",69.02,"Queensland"
"966","GoldCoast","2012","August",48.66,"Queensland"
"967","GoldCoast","2012","February",68.22,"Queensland"
"968","GoldCoast","2012","January",70.37,"Queensland"
"969","GoldCoast","2012","July",62.66,"Queensland"
"970","GoldCoast","2012","June",66.3,"Queensland"
"971","GoldCoast","2012","March",69.13,"Queensland"
"972","GoldCoast","2012","May",60.29,"Queensland"
"973","GoldCoast","2012","November",62.1,"Queensland"
"974","GoldCoast","2012","October",59.24,"Queensland"
"975","GoldCoast","2012","September",57.75,"Queensland"
"976","GoldCoast","2013","April",66.02,"Queensland"
"977","GoldCoast","2013","August",52.27,"Queensland"
"978","GoldCoast","2013","December",61.23,"Queensland"
"979","GoldCoast","2013","January",70.92,"Queensland"
"980","GoldCoast","2013","July",71.11,"Queensland"
"981","GoldCoast","2013","June",66.05,"Queensland"
"982","GoldCoast","2013","March",71.97,"Queensland"
"983","GoldCoast","2013","May",62.71,"Queensland"
"984","GoldCoast","2013","November",64.1,"Queensland"
"985","GoldCoast","2013","October",59.03,"Queensland"
"986","GoldCoast","2013","September",60.8,"Queensland"
"987","GoldCoast","2014","April",61.03,"Queensland"
"988","GoldCoast","2014","August",61.56,"Queensland"
"989","GoldCoast","2014","December",70.08,"Queensland"
"990","GoldCoast","2014","February",64.36,"Queensland"
"991","GoldCoast","2014","January",64.74,"Queensland"
"992","GoldCoast","2014","July",50.87,"Queensland"
"993","GoldCoast","2014","June",58.98,"Queensland"
"994","GoldCoast","2014","March",68.06,"Queensland"
"995","GoldCoast","2014","May",64.71,"Queensland"
"996","GoldCoast","2014","November",65.03,"Queensland"
"997","GoldCoast","2014","October",58.19,"Queensland"
"998","GoldCoast","2014","September",58.95,"Queensland"
"999","GoldCoast","2015","April",62.23,"Queensland"
"1000","GoldCoast","2015","August",61.81,"Queensland"
"1001","GoldCoast","2015","December",68.56,"Queensland"
"1002","GoldCoast","2015","February",72.84,"Queensland"
"1003","GoldCoast","2015","January",72.16,"Queensland"
"1004","GoldCoast","2015","July",62.85,"Queensland"
"1005","GoldCoast","2015","June",76.35,"Queensland"
"1006","GoldCoast","2015","March",66.23,"Queensland"
"1007","GoldCoast","2015","May",63.98,"Queensland"
"1008","GoldCoast","2015","November",70.17,"Queensland"
"1009","GoldCoast","2015","October",65.48,"Queensland"
"1010","GoldCoast","2015","September",60.92,"Queensland"
"1011","GoldCoast","2016","April",67.75,"Queensland"
"1012","GoldCoast","2016","August",61.47,"Queensland"
"1013","GoldCoast","2016","December",73.47,"Queensland"
"1014","GoldCoast","2016","February",79.86,"Queensland"
"1015","GoldCoast","2016","January",72.46,"Queensland"
"1016","GoldCoast","2016","July",61.08,"Queensland"
"1017","GoldCoast","2016","June",63.33,"Queensland"
"1018","GoldCoast","2016","March",75.48,"Queensland"
"1019","GoldCoast","2016","May",60.68,"Queensland"
"1020","GoldCoast","2016","November",63.05,"Queensland"
"1021","GoldCoast","2016","October",56.76,"Queensland"
"1022","GoldCoast","2016","September",62.6,"Queensland"
"1023","GoldCoast","2017","April",65.05,"Queensland"
"1024","GoldCoast","2017","February",65.88,"Queensland"
"1025","GoldCoast","2017","January",75.73,"Queensland"
"1026","GoldCoast","2017","June",70.66,"Queensland"
"1027","GoldCoast","2017","March",77.78,"Queensland"
"1028","GoldCoast","2017","May",78.13,"Queensland"
"1029","Hobart","2008","August",61.52,"Tasmania"
"1030","Hobart","2008","December",52.06,"Tasmania"
"1031","Hobart","2008","July",68.98,"Tasmania"
"1032","Hobart","2008","November",59.27,"Tasmania"
"1033","Hobart","2008","October",50.13,"Tasmania"
"1034","Hobart","2008","September",48.23,"Tasmania"
"1035","Hobart","2009","April",62.22,"Tasmania"
"1036","Hobart","2009","August",62.6,"Tasmania"
"1037","Hobart","2009","December",50.89,"Tasmania"
"1038","Hobart","2009","February",59.77,"Tasmania"
"1039","Hobart","2009","January",49.24,"Tasmania"
"1040","Hobart","2009","July",65,"Tasmania"
"1041","Hobart","2009","June",79.48,"Tasmania"
"1042","Hobart","2009","March",61.77,"Tasmania"
"1043","Hobart","2009","May",64.24,"Tasmania"
"1044","Hobart","2009","November",62.15,"Tasmania"
"1045","Hobart","2009","October",60.69,"Tasmania"
"1046","Hobart","2009","September",59.38,"Tasmania"
"1047","Hobart","2010","April",61.12,"Tasmania"
"1048","Hobart","2010","August",62.47,"Tasmania"
"1049","Hobart","2010","December",54.24,"Tasmania"
"1050","Hobart","2010","February",57.88,"Tasmania"
"1051","Hobart","2010","January",49.87,"Tasmania"
"1052","Hobart","2010","July",64.82,"Tasmania"
"1053","Hobart","2010","June",65.13,"Tasmania"
"1054","Hobart","2010","March",56.85,"Tasmania"
"1055","Hobart","2010","May",65.19,"Tasmania"
"1056","Hobart","2010","November",60.37,"Tasmania"
"1057","Hobart","2010","October",55.77,"Tasmania"
"1058","Hobart","2010","September",56.28,"Tasmania"
"1059","Hobart","2011","August",69.13,"Tasmania"
"1060","Hobart","2011","December",59.11,"Tasmania"
"1061","Hobart","2011","February",64.02,"Tasmania"
"1062","Hobart","2011","January",58.42,"Tasmania"
"1063","Hobart","2011","July",64.65,"Tasmania"
"1064","Hobart","2011","June",65.98,"Tasmania"
"1065","Hobart","2011","March",61.16,"Tasmania"
"1066","Hobart","2011","May",64.24,"Tasmania"
"1067","Hobart","2011","November",53.35,"Tasmania"
"1068","Hobart","2011","October",58.79,"Tasmania"
"1069","Hobart","2011","September",54.28,"Tasmania"
"1070","Hobart","2012","April",59.12,"Tasmania"
"1071","Hobart","2012","August",61.95,"Tasmania"
"1072","Hobart","2012","February",58.45,"Tasmania"
"1073","Hobart","2012","January",54,"Tasmania"
"1074","Hobart","2012","July",70.18,"Tasmania"
"1075","Hobart","2012","June",68.12,"Tasmania"
"1076","Hobart","2012","March",60.32,"Tasmania"
"1077","Hobart","2012","May",64.73,"Tasmania"
"1078","Hobart","2012","November",55.28,"Tasmania"
"1079","Hobart","2012","October",54.42,"Tasmania"
"1080","Hobart","2012","September",55.52,"Tasmania"
"1081","Hobart","2013","April",57.05,"Tasmania"
"1082","Hobart","2013","August",58.82,"Tasmania"
"1083","Hobart","2013","December",55.03,"Tasmania"
"1084","Hobart","2013","January",48.82,"Tasmania"
"1085","Hobart","2013","July",65.11,"Tasmania"
"1086","Hobart","2013","June",68.7,"Tasmania"
"1087","Hobart","2013","March",57.69,"Tasmania"
"1088","Hobart","2013","May",63.06,"Tasmania"
"1089","Hobart","2013","November",63.77,"Tasmania"
"1090","Hobart","2013","October",51,"Tasmania"
"1091","Hobart","2013","September",54.37,"Tasmania"
