"","Location","Year","Month","average_monthly_hum","State"
"112","Albany","2009","July",70.52,"Western Australia"
"113","Albany","2009","June",75.1,"Western Australia"
"114","Albany","2009","March",70.95,"Western Australia"
"115","Albany","2009","May",71.71,"Western Australia"
"116","Albany","2009","November",69.21,"Western Australia"
"117","Albany","2009","October",73.23,"Western Australia"
"118","Albany","2009","September",69.82,"Western Australia"
"119","Albany","2010","April",75.32,"Western Australia"
"120","Albany","2010","August",70,"Western Australia"
"121","Albany","2010","December",69.68,"Western Australia"
"122","Albany","2010","February",72.54,"Western Australia"
"123","Albany","2010","January",72.02,"Western Australia"
"124","Albany","2010","July",72.45,"Western Australia"
"125","Albany","2010","June",72.03,"Western Australia"
"126","Albany","2010","March",69.95,"Western Australia"
"127","Albany","2010","May",69.52,"Western Australia"
"128","Albany","2010","November",65.78,"Western Australia"
"129","Albany","2010","October",64.7,"Western Australia"
"130","Albany","2010","September",67.15,"Western Australia"
"131","Albany","2011","August",69.95,"Western Australia"
"132","Albany","2011","December",69.98,"Western Australia"
"133","Albany","2011","February",75.12,"Western Australia"
"134","Albany","2011","January",69.08,"Western Australia"
"135","Albany","2011","July",73.94,"Western Australia"
"136","Albany","2011","June",70.67,"Western Australia"
"137","Albany","2011","March",69.48,"Western Australia"
"138","Albany","2011","May",71.16,"Western Australia"
"139","Albany","2011","November",64.88,"Western Australia"
"140","Albany","2011","October",72.9,"Western Australia"
"141","Albany","2011","September",68.37,"Western Australia"
"142","Albany","2012","April",67.84,"Western Australia"
"143","Albany","2012","August",71.53,"Western Australia"
"144","Albany","2012","February",69.91,"Western Australia"
"145","Albany","2012","January",72.41,"Western Australia"
"146","Albany","2012","July",71.92,"Western Australia"
"147","Albany","2012","June",73.53,"Western Australia"
"148","Albany","2012","March",63.29,"Western Australia"
"149","Albany","2012","May",74.69,"Western Australia"
"150","Albany","2012","November",68.48,"Western Australia"
"151","Albany","2012","October",61.71,"Western Australia"
"152","Albany","2012","September",70.1,"Western Australia"
"153","Albany","2013","April",76.95,"Western Australia"
"154","Albany","2013","August",78.32,"Western Australia"
"155","Albany","2013","December",69.74,"Western Australia"
"156","Albany","2013","January",65.95,"Western Australia"
"157","Albany","2013","July",70.69,"Western Australia"
"158","Albany","2013","June",69.75,"Western Australia"
"159","Albany","2013","March",73.15,"Western Australia"
"160","Albany","2013","May",73.16,"Western Australia"
"161","Albany","2013","November",66.57,"Western Australia"
"162","Albany","2013","October",70.15,"Western Australia"
"163","Albany","2013","September",68.27,"Western Australia"
"164","Albany","2014","April",70.5,"Western Australia"
"165","Albany","2014","August",67.68,"Western Australia"
"166","Albany","2014","December",68.31,"Western Australia"
"167","Albany","2014","February",65.91,"Western Australia"
"168","Albany","2014","January",69.87,"Western Australia"
"169","Albany","2014","July",77.34,"Western Australia"
"170","Albany","2014","June",78.47,"Western Australia"
"171","Albany","2014","March",71.6,"Western Australia"
"172","Albany","2014","May",77.13,"Western Australia"
"173","Albany","2014","November",64.98,"Western Australia"
"174","Albany","2014","October",70.6,"Western Australia"
"175","Albany","2014","September",68.47,"Western Australia"
"176","Albany","2015","April",69.66,"Western Australia"
"177","Albany","2015","August",NA,"Western Australia"
"178","Albany","2015","December",NA,"Western Australia"
"179","Albany","2015","February",69.88,"Western Australia"
"180","Albany","2015","January",66.55,"Western Australia"
"181","Albany","2015","July",74.15,"Western Australia"
"182","Albany","2015","June",71.8,"Western Australia"
"183","Albany","2015","March",70.65,"Western Australia"
"184","Albany","2015","May",70.28,"Western Australia"
"185","Albany","2015","November",NA,"Western Australia"
"186","Albany","2015","October",NA,"Western Australia"
"187","Albany","2015","September",NA,"Western Australia"
"188","Albany","2016","April",NA,"Western Australia"
"189","Albany","2016","August",NA,"Western Australia"
"190","Albany","2016","December",NA,"Western Australia"
"191","Albany","2016","February",NA,"Western Australia"
"192","Albany","2016","January",NA,"Western Australia"
"193","Albany","2016","July",NA,"Western Australia"
"194","Albany","2016","June",NA,"Western Australia"
"195","Albany","2016","March",NA,"Western Australia"
"196","Albany","2016","May",NA,"Western Australia"
"197","Albany","2016","November",NA,"Western Australia"
"198","Albany","2016","October",NA,"Western Australia"
"199","Albany","2016","September",NA,"Western Australia"
"200","Albany","2017","April",NA,"Western Australia"
"201","Albany","2017","February",NA,"Western Australia"
"202","Albany","2017","January",NA,"Western Australia"
"203","Albany","2017","June",NA,"Western Australia"
"204","Albany","2017","March",NA,"Western Australia"
"205","Albany","2017","May",NA,"Western Australia"
"206","AliceSprings","2008","December",33.4,"Northern Territory"
"207","AliceSprings","2009","April",23.4,"Northern Territory"
"208","AliceSprings","2009","August",21.32,"Northern Territory"
"209","AliceSprings","2009","December",20.39,"Northern Territory"
"210","AliceSprings","2009","February",19.93,"Northern Territory"
"211","AliceSprings","2009","January",30.81,"Northern Territory"
"212","AliceSprings","2009","July",35.39,"Northern Territory"
"213","AliceSprings","2009","June",43.12,"Northern Territory"
"214","AliceSprings","2009","March",19.26,"Northern Territory"
"215","AliceSprings","2009","May",37.5,"Northern Territory"
"216","AliceSprings","2009","November",15.1,"Northern Territory"
"217","AliceSprings","2009","October",14.06,"Northern Territory"
"218","AliceSprings","2009","September",19.52,"Northern Territory"
"219","AliceSprings","2010","April",48.78,"Northern Territory"
"220","AliceSprings","2010","August",48.61,"Northern Territory"
